# t mean (error)  roughn.  (error)  size
   43 85.046000 0.405456 2.214827 0.106900 10
   44 86.983000 0.417944 2.217957 0.098594 10
   45 88.950000 0.414623 2.249419 0.104751 10
   46 90.985000 0.414956 2.175760 0.094504 10
   47 92.915000 0.422638 2.186952 0.088725 10
   48 94.885000 0.430453 2.105825 0.087248 10
   49 96.860000 0.438549 2.135013 0.083721 10
   50 98.930000 0.443613 2.094347 0.083624 10
   51 100.780000 0.444709 2.187301 0.088221 10
   52 102.755000 0.449175 2.298920 0.094274 10
   53 104.739000 0.451934 2.280443 0.095889 10
   54 106.702000 0.460733 2.323927 0.097823 10
   55 108.779000 0.476668 2.167415 0.089127 10
   56 110.710000 0.479019 2.204410 0.095239 10
   57 112.602000 0.493724 2.190519 0.077631 10
   58 114.591000 0.490341 2.201426 0.083873 10
   59 116.544000 0.497055 2.169189 0.087929 10
   60 118.626000 0.509745 2.111044 0.085487 10
   61 120.569000 0.514526 2.070418 0.085497 10
   62 122.558000 0.516811 2.135797 0.079058 10
   63 124.483000 0.526843 2.327106 0.094253 10
   64 126.484000 0.528504 2.268667 0.097781 10
   65 128.580000 0.532456 1.977350 0.084703 10
   66 130.434000 0.528123 2.195186 0.087522 10
   67 132.499000 0.531845 2.113432 0.090359 10
   68 134.413000 0.533965 2.093170 0.089462 10
   69 136.407000 0.539591 2.023747 0.089846 10
   70 138.342000 0.543018 1.957870 0.087256 10
   71 140.241000 0.547464 1.998296 0.069028 10
   72 142.054000 0.545397 2.067282 0.072832 10
   73 143.959000 0.550539 2.105896 0.086123 10
   74 145.895000 0.550235 2.060005 0.078321 10
   75 147.801000 0.549092 2.210397 0.086038 10
   76 149.753000 0.555078 2.161441 0.092827 10
   77 151.707000 0.554659 2.169362 0.095450 10
   78 153.698000 0.557676 2.162842 0.086906 10
   79 155.692000 0.557865 2.053869 0.074442 10
   80 157.610000 0.562924 2.008775 0.073665 10
   81 159.537000 0.558498 1.995704 0.078087 10
   82 161.423000 0.564756 2.159567 0.091141 10
   83 163.340000 0.563340 2.178070 0.095167 10
   84 165.389000 0.560492 2.223644 0.085168 10
   85 167.361000 0.561081 2.216420 0.090776 10
   86 169.323000 0.563216 2.236594 0.099206 10
   87 171.288000 0.564222 2.137234 0.099139 10
   88 173.175000 0.563380 2.266072 0.102149 10
   89 175.175000 0.563177 2.261441 0.096640 10
   90 177.169000 0.564188 2.257249 0.089031 10
   91 179.189000 0.556313 2.194499 0.087182 10
   92 181.124000 0.564921 2.151919 0.088617 10
   93 183.022000 0.575706 2.210220 0.101411 10
   94 184.992000 0.580257 2.185361 0.090397 10
   95 186.950000 0.589257 2.146994 0.095390 10
   96 188.839000 0.587563 2.280440 0.102637 10
   97 190.845000 0.585338 2.320345 0.104616 10
   98 192.848000 0.584648 2.291484 0.104083 10
   99 194.855000 0.587246 2.286523 0.084621 10
   100 196.867000 0.583513 2.221209 0.084884 10
   101 198.839000 0.584076 2.204612 0.084051 10
   102 200.796000 0.584999 2.157415 0.086443 10
   103 202.768000 0.586379 2.206385 0.096497 10
   104 204.825000 0.585978 2.126106 0.095154 10
   105 206.729000 0.597764 2.222163 0.100337 10
   106 208.783000 0.598959 2.204829 0.093648 10
   107 210.835000 0.603628 2.134192 0.090939 10
   108 212.780000 0.594948 2.287994 0.102508 10
   109 214.763000 0.598067 2.202368 0.094371 10
   110 216.641000 0.598495 2.232051 0.089930 10
   111 218.630000 0.599153 2.293471 0.087709 10
   112 220.572000 0.597170 2.281814 0.100178 10
   113 222.556000 0.596758 2.321426 0.099391 10
   114 224.613000 0.600768 2.194712 0.099043 10
   115 226.479000 0.603525 2.270343 0.102742 10
   116 228.482000 0.598603 2.272794 0.106922 10
   117 230.469000 0.607656 2.237130 0.096659 10
   118 232.500000 0.607668 2.113823 0.096554 10
   119 234.411000 0.609777 2.226881 0.101906 10
   120 236.413000 0.615073 2.107946 0.089095 10
   121 238.299000 0.617099 2.239010 0.091901 10
   122 240.309000 0.626548 2.173248 0.087669 10
   123 242.233000 0.627303 2.084109 0.090106 10
   124 244.194000 0.624064 2.056670 0.090023 10
   125 246.123000 0.624239 2.038403 0.084268 10
   126 248.054000 0.618407 2.051108 0.089992 10
   127 249.940000 0.620788 2.068670 0.099929 10
   128 251.864000 0.622310 2.090776 0.090702 10
   129 253.794000 0.619724 2.191229 0.099510 10
   130 255.861000 0.623771 2.208128 0.099080 10
   131 257.794000 0.627654 2.249355 0.088135 10
   132 259.877000 0.628533 2.198429 0.086364 10
   133 261.756000 0.627479 2.206125 0.091905 10
   134 263.666000 0.624322 2.217313 0.094491 10
   135 265.720000 0.624524 2.101731 0.075834 10
   136 267.712000 0.632523 2.081443 0.072627 10
   137 269.675000 0.634169 2.092061 0.080264 10
   138 271.606000 0.639753 2.150355 0.084302 10
   139 273.607000 0.637258 2.142346 0.089061 10
   140 275.384000 0.637829 2.295950 0.090755 10
   141 277.459000 0.636028 2.264897 0.089213 10
   142 279.425000 0.641278 2.180757 0.083376 10
   143 281.327000 0.628281 2.211165 0.067708 10
   144 283.290000 0.622282 2.271823 0.093226 10
   145 285.334000 0.625404 2.208910 0.093058 10
   146 287.295000 0.635954 2.189032 0.094219 10
   147 289.264000 0.641713 2.131549 0.093263 10
   148 291.330000 0.629246 2.041994 0.091135 10
   149 293.206000 0.631616 2.180597 0.081128 10
   150 295.207000 0.634947 2.116184 0.079472 10
   151 297.160000 0.637568 2.162494 0.079976 10
   152 299.222000 0.630178 2.087666 0.072825 10
   153 301.112000 0.623605 2.155867 0.078124 10
   154 303.205000 0.619375 2.200412 0.086357 10
   155 305.178000 0.610111 2.326802 0.088933 10
   156 307.187000 0.615107 2.369271 0.094455 10
   157 309.357000 0.619609 2.161862 0.091688 10
   158 311.284000 0.626810 2.184411 0.096794 10
   159 313.243000 0.627971 2.258456 0.100145 10
   160 315.212000 0.632178 2.164424 0.089841 10
   161 317.219000 0.635490 2.152488 0.085805 10
   162 319.159000 0.638646 2.098567 0.091271 10
   163 321.058000 0.647073 2.036407 0.090790 10
   164 323.001000 0.657378 1.939462 0.076475 10
   165 324.939000 0.663412 2.036784 0.071309 10
   166 326.850000 0.664980 2.057215 0.079243 10
   167 328.763000 0.667864 2.222486 0.086413 10
   168 330.750000 0.676535 2.257305 0.089543 10
   169 332.721000 0.677183 2.181906 0.087235 10
   170 334.660000 0.682390 2.220406 0.095885 10
   171 336.704000 0.687491 2.167394 0.084865 10
   172 338.805000 0.694044 2.149077 0.074831 10
   173 340.730000 0.696221 2.074061 0.073696 10
   174 342.623000 0.687660 2.202072 0.083059 10
   175 344.590000 0.703583 2.178822 0.086849 10
   176 346.587000 0.699948 2.209134 0.081985 10
   177 348.576000 0.690273 2.191768 0.088828 10
   178 350.533000 0.694542 2.068182 0.089956 10
   179 352.519000 0.692283 1.995742 0.080799 10
   180 354.516000 0.690985 2.019231 0.074800 10
   181 356.464000 0.695760 2.089249 0.082367 10
   182 358.427000 0.698795 2.026651 0.085528 10
   183 360.330000 0.695135 1.989516 0.085329 10
   184 362.164000 0.698417 2.043626 0.080891 10
   185 364.117000 0.696433 2.060031 0.078546 10
   186 366.053000 0.697937 2.197188 0.089672 10
   187 368.078000 0.708734 2.113903 0.085352 10
   188 370.023000 0.712130 2.148383 0.085111 10
   189 371.999000 0.709107 2.193834 0.081995 10
   190 373.965000 0.711285 2.131953 0.095340 10
   191 375.905000 0.711496 2.212550 0.098480 10
   192 377.931000 0.714004 2.085156 0.087849 10
   193 379.790000 0.716700 2.096986 0.090020 10
   194 381.751000 0.723723 2.021248 0.083718 10
   195 383.672000 0.722293 2.149361 0.100385 10
   196 385.663000 0.723152 2.146895 0.093222 10
   197 387.556000 0.735786 2.163091 0.090968 10
   198 389.563000 0.734848 2.179495 0.087022 10
   199 391.528000 0.731321 2.168434 0.091723 10
   200 393.540000 0.732175 2.161440 0.086256 10
   201 395.514000 0.723594 2.037586 0.072950 10
   202 397.463000 0.720848 2.028200 0.079297 10
   203 399.316000 0.723727 2.168696 0.089135 10
   204 401.265000 0.732274 2.154987 0.085666 10
   205 403.198000 0.737699 2.105701 0.089613 10
   206 405.178000 0.730085 2.070195 0.085711 10
   207 407.111000 0.740060 2.139816 0.072522 10
   208 409.066000 0.736751 2.137615 0.075398 10
   209 411.094000 0.743725 2.054612 0.082276 10
   210 413.078000 0.753364 2.017904 0.066656 10
   211 415.068000 0.762449 2.046551 0.074361 10
   212 417.037000 0.771833 1.996509 0.076848 10
   213 419.002000 0.776330 1.988975 0.078739 10
   214 420.952000 0.786243 1.932367 0.076274 10
   215 422.817000 0.791084 2.068563 0.080085 10
   216 424.759000 0.788346 2.077118 0.086051 10
   217 426.726000 0.794126 2.000147 0.082107 10
   218 428.557000 0.800968 2.076726 0.072091 10
   219 430.450000 0.793758 2.081814 0.079293 10
   220 432.392000 0.786236 2.145994 0.081309 10
   221 434.389000 0.795999 2.168663 0.086152 10
   222 436.258000 0.800072 2.331990 0.099383 10
   223 438.213000 0.809525 2.377358 0.095878 10
   224 440.284000 0.820475 2.220402 0.077095 10
   225 442.312000 0.828834 2.196952 0.087871 10
   226 444.328000 0.838172 2.208524 0.096830 10
   227 446.330000 0.853332 2.227948 0.097341 10
   228 448.298000 0.856231 2.167840 0.093726 10
   229 450.214000 0.858282 2.218528 0.091350 10
   230 452.161000 0.854398 2.250412 0.094982 10
   231 454.181000 0.851711 2.420567 0.107560 10
   232 456.223000 0.863027 2.316749 0.086525 10
   233 458.218000 0.872655 2.359952 0.091344 10
   234 460.212000 0.868753 2.237674 0.085836 10
   235 462.222000 0.862732 2.213322 0.082487 10
   236 464.239000 0.854336 2.211911 0.091018 10
   237 466.279000 0.857718 2.231917 0.090087 10
   238 468.273000 0.850756 2.184632 0.095932 10
   239 470.205000 0.851533 2.102714 0.090782 10
   240 472.091000 0.857611 2.214296 0.088271 10
   241 474.105000 0.855034 2.154849 0.090527 10
   242 476.062000 0.864559 2.171799 0.091381 10
   243 478.013000 0.873745 2.165345 0.087420 10
   244 480.049000 0.885363 2.112994 0.081832 10
   245 482.000000 0.886841 2.097120 0.084799 10
   246 483.865000 0.891839 2.105906 0.072031 10
   247 485.752000 0.892411 2.198883 0.077987 10
   248 487.829000 0.883862 2.037987 0.086241 10
   249 489.760000 0.882500 2.095553 0.086647 10
   250 491.608000 0.879257 2.167515 0.082025 10
   251 493.595000 0.877586 2.098299 0.077371 10
   252 495.550000 0.880892 2.178707 0.081503 10
   253 497.551000 0.884492 2.104601 0.085147 10
   254 499.501000 0.894362 2.148101 0.076881 10
   255 501.513000 0.897365 2.136865 0.089132 10
   256 503.455000 0.910663 2.169821 0.088556 10
   257 505.419000 0.910426 2.160452 0.090070 10
   258 507.396000 0.908716 2.090832 0.087318 10
   259 509.291000 0.913238 2.076317 0.086387 10
   260 511.246000 0.920319 2.214748 0.095383 10
   261 513.292000 0.919695 2.165011 0.090973 10
   262 515.291000 0.933750 2.010736 0.074957 10
   263 517.135000 0.932032 2.114491 0.082022 10
   264 519.095000 0.924390 2.099573 0.074569 10
   265 521.010000 0.935669 2.153841 0.083168 10
   266 522.871000 0.937854 2.255825 0.098276 10
   267 524.887000 0.939750 2.174520 0.106352 10
   268 526.875000 0.937517 2.083551 0.096991 10
   269 528.900000 0.930134 1.919709 0.084621 10
   270 530.726000 0.942072 2.091188 0.084287 10
   271 532.685000 0.942552 2.192402 0.085225 10
   272 534.638000 0.940028 2.187392 0.088576 10
   273 536.542000 0.942276 2.203202 0.101290 10
   274 538.476000 0.946274 2.212014 0.094623 10
   275 540.543000 0.943526 2.185376 0.097049 10
   276 542.442000 0.936727 2.194716 0.087249 10
   277 544.451000 0.941131 2.074936 0.088941 10
   278 546.377000 0.937234 2.072492 0.083077 10
   279 548.265000 0.950488 2.180995 0.079567 10
   280 550.237000 0.952068 2.278878 0.085317 10
   281 552.257000 0.960658 2.198378 0.088799 10
   282 554.201000 0.962249 2.224305 0.093028 10
   283 556.174000 0.958769 2.112087 0.087864 10
   284 558.128000 0.960154 2.133406 0.091042 10
   285 560.031000 0.959530 2.113164 0.085128 10
   286 562.034000 0.956815 2.014665 0.082506 10
   287 563.894000 0.959543 2.007942 0.080489 10
   288 565.733000 0.968600 2.175389 0.080213 10
   289 567.721000 0.972063 2.233309 0.088525 10
   290 569.716000 0.976261 2.228914 0.094588 10
   291 571.714000 0.989731 2.194918 0.093276 10
   292 573.674000 0.991852 2.188753 0.084910 10
   293 575.649000 0.991707 2.183689 0.079684 10
   294 577.588000 0.989316 2.185209 0.090635 10
   295 579.522000 0.983348 2.164613 0.092859 10
   296 581.408000 0.990717 2.276718 0.090763 10
   297 583.464000 0.981113 2.210863 0.097912 10
   298 585.429000 0.970685 2.107068 0.093126 10
   299 587.342000 0.967403 2.163257 0.083866 10
   300 589.304000 0.969830 2.200070 0.094007 10
   301 591.311000 0.965666 2.095249 0.087711 10
   302 593.323000 0.958333 2.102815 0.089616 10
   303 595.272000 0.965266 2.104805 0.087721 10
   304 597.231000 0.966760 2.126591 0.077935 10
   305 599.106000 0.968716 2.175260 0.084712 10
   306 601.062000 0.973009 2.079778 0.076325 10
   307 602.989000 0.980065 2.084747 0.080311 10
   308 604.934000 0.980811 2.072767 0.080919 10
   309 606.858000 0.975883 1.994497 0.081363 10
   310 608.751000 0.978785 2.069869 0.081075 10
   311 610.665000 0.981293 2.041588 0.070926 10
   312 612.612000 0.981503 2.048368 0.078508 10
   313 614.419000 0.985368 2.219211 0.084471 10
   314 616.387000 0.993705 2.204864 0.090692 10
   315 618.430000 1.004228 2.080301 0.083518 10
   316 620.334000 1.011055 2.085916 0.094407 10
   317 622.278000 1.010226 2.105697 0.084665 10
   318 624.183000 1.020744 2.132333 0.086728 10
   319 626.120000 1.021289 2.123877 0.091494 10
   320 628.094000 1.023897 2.117979 0.096041 10
   321 630.126000 1.026519 2.007399 0.088086 10
   322 632.041000 1.029874 2.170620 0.100620 10
   323 633.981000 1.035715 2.283351 0.098422 10
   324 636.062000 1.030751 2.132271 0.085471 10
   325 637.919000 1.021879 2.167621 0.091039 10
   326 639.905000 1.022761 2.160858 0.092921 10
   327 641.861000 1.020328 2.220096 0.097601 10
   328 643.772000 1.019846 2.321192 0.102675 10
   329 645.862000 1.024503 2.210394 0.094824 10
   330 647.851000 1.019239 2.291301 0.080330 10
   331 649.880000 1.042298 2.359506 0.094073 10
   332 651.995000 1.045528 2.242455 0.090604 10
   333 653.976000 1.046903 2.305288 0.089129 10
   334 655.922000 1.046625 2.274768 0.094089 10
   335 657.993000 1.045285 2.161456 0.095219 10
   336 659.902000 1.034213 2.114903 0.086081 10
   337 661.899000 1.034741 2.039354 0.082360 10
   338 663.854000 1.039653 1.969674 0.077732 10
   339 665.718000 1.053296 2.079677 0.072721 10
   340 667.637000 1.054170 2.094235 0.089628 10
   341 669.577000 1.059677 2.183961 0.087606 10
   342 671.603000 1.068270 2.153517 0.077906 10
   343 673.592000 1.065311 2.156147 0.079812 10
   344 675.581000 1.065205 2.148014 0.090784 10
   345 677.511000 1.051227 2.241955 0.090606 10
   346 679.603000 1.057296 2.227573 0.105007 10
   347 681.592000 1.065807 2.256258 0.108632 10
   348 683.555000 1.067917 2.272014 0.092913 10
   349 685.549000 1.064336 2.128304 0.104911 10
   350 687.464000 1.058475 2.199656 0.089314 10
   351 689.452000 1.061712 2.208232 0.091415 10
   352 691.379000 1.074879 2.178105 0.093537 10
   353 693.324000 1.075041 2.184113 0.083185 10
   354 695.348000 1.076716 2.196026 0.079001 10
   355 697.295000 1.077381 2.159545 0.094819 10
   356 699.200000 1.082679 2.175432 0.088779 10
   357 701.279000 1.078111 2.106450 0.083362 10
   358 703.244000 1.082275 2.114618 0.079276 10
   359 705.175000 1.091247 2.130837 0.084485 10
   360 707.088000 1.095014 2.138783 0.087467 10
   361 709.038000 1.109460 2.153062 0.083226 10
   362 710.929000 1.104584 2.149685 0.093439 10
   363 712.864000 1.133590 2.186863 0.086201 10
   364 714.861000 1.134278 2.116361 0.095162 10
   365 716.774000 1.134154 2.126281 0.090773 10
   366 718.713000 1.130825 2.037587 0.079464 10
   367 720.662000 1.133332 2.068110 0.078426 10
   368 722.554000 1.140092 2.253311 0.085315 10
   369 724.452000 1.141432 2.312321 0.101054 10
   370 726.559000 1.155483 2.206019 0.087904 10
   371 728.474000 1.159893 2.353744 0.094243 10
   372 730.577000 1.160622 2.230974 0.075308 10
   373 732.529000 1.161346 2.125485 0.082988 10
   374 734.465000 1.167766 2.144331 0.086605 10
   375 736.361000 1.178132 2.272469 0.080715 10
   376 738.388000 1.180663 2.207494 0.088647 10
   377 740.377000 1.175489 2.095459 0.083373 10
   378 742.298000 1.179889 2.097819 0.084133 10
   379 744.262000 1.187038 2.057575 0.078289 10
   380 746.146000 1.187110 2.241728 0.084175 10
   381 748.064000 1.185382 2.264937 0.090345 10
   382 750.049000 1.188628 2.318766 0.090856 10
   383 752.016000 1.198358 2.329134 0.095385 10
   384 754.053000 1.191585 2.180499 0.092230 10
   385 755.883000 1.189366 2.262018 0.093093 10
   386 757.873000 1.193948 2.278938 0.079617 10
   387 759.884000 1.193985 2.223221 0.085368 10
   388 761.885000 1.197370 2.106488 0.081440 10
   389 763.889000 1.191267 2.111738 0.078795 10
   390 765.810000 1.193362 2.179171 0.075746 10
   391 767.756000 1.201533 2.200449 0.084926 10
   392 769.723000 1.203892 2.205456 0.087274 10
   393 771.660000 1.207438 2.134528 0.092299 10
   394 773.653000 1.215888 2.152538 0.090077 10
   395 775.646000 1.211975 2.079729 0.080774 10
   396 777.569000 1.208589 2.184819 0.091113 10
   397 779.563000 1.210205 2.151900 0.091133 10
   398 781.545000 1.206501 2.183114 0.096353 10
   399 783.483000 1.202759 2.166991 0.086319 10
   400 785.515000 1.201109 2.171981 0.074441 10
   401 787.431000 1.199594 2.229037 0.092610 10
   402 789.435000 1.209415 2.094144 0.093779 10
   403 791.409000 1.205225 2.017807 0.080901 10
   404 793.412000 1.217953 1.985658 0.081014 10
   405 795.365000 1.229508 2.040087 0.071389 10
   406 797.249000 1.230077 2.237714 0.080135 10
   407 799.225000 1.233770 2.253154 0.087213 10
   408 801.262000 1.224134 2.188532 0.085501 10
   409 803.180000 1.230768 2.179536 0.093475 10
   410 805.173000 1.241506 2.180011 0.091356 10
   411 807.161000 1.242419 2.224836 0.097980 10
   412 809.201000 1.255568 2.165218 0.088405 10
   413 811.097000 1.246753 2.175324 0.089706 10
   414 813.027000 1.251505 2.177290 0.086545 10
   415 815.032000 1.259077 2.082289 0.083417 10
   416 816.987000 1.256884 2.034472 0.088410 10
   417 818.866000 1.254774 2.161908 0.095397 10
   418 820.799000 1.255184 2.159559 0.091993 10
   419 822.757000 1.257803 2.129096 0.084808 10
   420 824.722000 1.273722 2.073946 0.080463 10
   421 826.638000 1.270798 2.120585 0.090694 10
   422 828.591000 1.268136 2.158951 0.089996 10
   423 830.561000 1.277969 2.019610 0.095984 10
   424 832.474000 1.284685 2.008749 0.091183 10
   425 834.463000 1.283717 1.957157 0.084879 10
   426 836.257000 1.272950 2.042134 0.088808 10
   427 838.222000 1.284590 2.060008 0.084934 10
   428 840.125000 1.288583 2.035744 0.072686 10
   429 841.983000 1.282442 2.117009 0.078738 10
   430 843.997000 1.278148 2.160040 0.079043 10
   431 846.009000 1.281171 2.121796 0.075764 10
   432 847.927000 1.287123 2.233897 0.080629 10
   433 849.932000 1.282985 2.102962 0.093309 10
   434 851.884000 1.277139 2.151947 0.084466 10
   435 853.895000 1.274187 2.120266 0.090942 10
   436 855.811000 1.282591 2.189940 0.095371 10
   437 857.732000 1.289317 2.328231 0.104056 10
   438 859.736000 1.296076 2.288112 0.100471 10
   439 861.735000 1.292126 2.209463 0.077301 10
   440 863.674000 1.294522 2.265384 0.090165 10
   441 865.712000 1.295522 2.183550 0.094276 10
   442 867.665000 1.302820 2.188279 0.088622 10
   443 869.665000 1.300534 2.226068 0.096501 10
   444 871.682000 1.306497 2.304462 0.092761 10
   445 873.759000 1.301954 2.225243 0.081016 10
   446 875.642000 1.301618 2.350336 0.082077 10
   447 877.768000 1.310264 2.247372 0.082212 10
   448 879.798000 1.312787 2.219767 0.081416 10
   449 881.722000 1.328195 2.229043 0.080023 10
   450 883.725000 1.322334 2.119728 0.071764 10
   451 885.598000 1.326850 2.103773 0.074937 10
   452 887.604000 1.325765 2.124544 0.080774 10
   453 889.638000 1.328141 2.119671 0.082388 10
   454 891.542000 1.328221 2.194176 0.083666 10
   455 893.434000 1.334634 2.295592 0.095793 10
   456 895.486000 1.336678 2.081136 0.074310 10
   457 897.395000 1.341359 2.081786 0.064500 10
   458 899.327000 1.344124 2.132225 0.080861 10
   459 901.315000 1.342163 2.239695 0.081814 10
   460 903.415000 1.330055 2.213376 0.081282 10
   461 905.439000 1.331053 2.167366 0.081911 10
   462 907.422000 1.327135 2.217130 0.086849 10
   463 909.391000 1.329741 2.144612 0.102491 10
   464 911.276000 1.330387 2.236489 0.100349 10
   465 913.236000 1.326802 2.268011 0.099114 10
   466 915.294000 1.318916 2.175132 0.096190 10
   467 917.167000 1.318401 2.230345 0.102231 10
   468 919.149000 1.317733 2.248529 0.094571 10
   469 921.184000 1.323467 2.204719 0.090476 10
   470 923.228000 1.326838 2.081572 0.085141 10
   471 925.071000 1.326173 2.201561 0.088901 10
   472 927.048000 1.325514 2.219363 0.090700 10
   473 929.041000 1.333730 2.140207 0.092661 10
   474 931.044000 1.340000 1.922799 0.073748 10
   475 932.996000 1.333263 1.890059 0.074419 10
   476 934.746000 1.324415 2.042417 0.081311 10
   477 936.673000 1.333889 2.081809 0.090306 10
   478 938.635000 1.331292 2.183436 0.096447 10
   479 940.669000 1.333198 2.102715 0.080132 10
   480 942.597000 1.332404 2.215071 0.082960 10
   481 944.547000 1.324298 2.248376 0.080523 10
   482 946.526000 1.341155 2.312270 0.091773 10
   483 948.529000 1.335143 2.266406 0.083515 10
   484 950.528000 1.329708 2.185079 0.081055 10
   485 952.473000 1.326369 2.258825 0.088124 10
   486 954.379000 1.325140 2.240902 0.095031 10
   487 956.329000 1.333701 2.255431 0.094748 10
   488 958.322000 1.327002 2.158041 0.093022 10
   489 960.299000 1.320628 2.087975 0.093758 10
   490 962.225000 1.317296 2.064564 0.088436 10
   491 964.170000 1.312206 2.024541 0.089207 10
   492 966.056000 1.310723 2.146132 0.091647 10
   493 968.008000 1.314088 2.232844 0.094624 10
   494 969.900000 1.314902 2.242375 0.105599 10
   495 971.864000 1.319177 2.112455 0.086488 10
   496 973.816000 1.324919 2.014316 0.076997 10
   497 975.791000 1.325632 1.960191 0.072915 10
   498 977.607000 1.331379 2.193049 0.081689 10
   499 979.554000 1.329473 2.285552 0.083063 10
   500 981.573000 1.322113 2.295425 0.091316 10
   501 983.606000 1.323741 2.322638 0.092951 10
   502 985.680000 1.336304 2.183330 0.089413 10
   503 987.763000 1.332487 2.016514 0.086688 10
   504 989.693000 1.336746 2.053065 0.083945 10
   505 991.522000 1.329668 2.042535 0.077970 10
   506 993.388000 1.318850 2.183184 0.089211 10
   507 995.416000 1.318381 2.206577 0.099657 10
   508 997.391000 1.330235 2.196933 0.104764 10
   509 999.371000 1.337911 2.165661 0.105151 10
   510 1001.256000 1.343175 2.131745 0.097051 10
   511 1003.258000 1.345498 2.268050 0.087001 10
   512 1005.297000 1.348224 2.233838 0.097009 10
   513 1007.291000 1.349702 2.214507 0.095793 10
   514 1009.318000 1.353601 2.201917 0.084277 10
   515 1011.339000 1.351151 2.109927 0.089720 10
   516 1013.215000 1.352450 2.164830 0.081489 10
   517 1015.112000 1.349406 2.231027 0.084406 10
   518 1017.177000 1.354721 2.059430 0.076465 10
   519 1019.106000 1.357821 2.140943 0.078815 10
   520 1021.114000 1.366349 2.202481 0.085992 10
   521 1023.108000 1.368111 2.227013 0.092202 10
   522 1024.982000 1.362388 2.259537 0.095573 10
   523 1026.913000 1.361200 2.375162 0.101916 10
   524 1028.858000 1.356392 2.449280 0.097795 10
   525 1031.041000 1.367278 2.300005 0.102192 10
   526 1033.032000 1.367931 2.239833 0.099582 10
   527 1034.945000 1.370422 2.333619 0.089257 10
   528 1036.934000 1.369188 2.293383 0.093485 10
   529 1039.000000 1.373459 2.121502 0.087075 10
   530 1040.990000 1.365555 2.134699 0.088857 10
   531 1042.884000 1.362481 2.221533 0.087397 10
   532 1044.847000 1.366028 2.241060 0.096093 10
   533 1046.852000 1.360113 2.242560 0.107887 10
   534 1048.909000 1.359904 2.119114 0.086085 10
   535 1050.773000 1.365807 2.030737 0.083000 10
   536 1052.612000 1.365698 2.143677 0.082649 10
   537 1054.542000 1.357497 2.185610 0.090247 10
   538 1056.530000 1.353780 2.141075 0.091872 10
   539 1058.521000 1.349812 2.094591 0.099442 10
   540 1060.416000 1.363041 2.182560 0.097919 10
   541 1062.359000 1.369248 2.310055 0.084240 10
   542 1064.433000 1.374244 2.208723 0.095602 10
   543 1066.413000 1.380282 2.203714 0.081498 10
   544 1068.376000 1.375150 2.208212 0.083340 10
   545 1070.346000 1.372849 2.182747 0.081725 10
   546 1072.323000 1.381097 2.151932 0.087414 10
   547 1074.319000 1.388544 2.177245 0.077427 10
   548 1076.244000 1.384546 2.105640 0.088699 10
   549 1078.174000 1.384519 2.080791 0.085724 10
   550 1080.127000 1.382657 2.237315 0.101161 10
   551 1082.141000 1.395685 2.238050 0.095475 10
   552 1084.119000 1.391506 2.209207 0.102775 10
   553 1086.104000 1.388857 2.203033 0.096213 10
   554 1088.009000 1.389955 2.256653 0.093031 10
   555 1090.123000 1.391533 2.132572 0.085625 10
